                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.20034,                0.26978,                0.88191,                0.99108,                      1,                  0.995,                0.99387,                0.19899,                0.28658,                0.61868,              0.0025255,              0.0025255,              0.0025255
                    153,                0.17334,                0.26653,                0.87201,                0.98744,                      1,                  0.995,                  0.995,                0.20559,                0.27609,                0.62568,               0.002476,               0.002476,               0.002476
                    154,                0.19257,                0.26929,                0.89211,                0.99168,                      1,                  0.995,                  0.995,                0.20389,                0.27317,                0.63106,              0.0024265,              0.0024265,              0.0024265
                    155,                0.18511,                0.25807,                 0.8929,                0.99803,                      1,                  0.995,                  0.995,                0.19518,                0.25508,                0.62866,               0.002377,               0.002377,               0.002377
                    156,                0.18188,                0.25418,                0.87085,                0.99833,                      1,                  0.995,                  0.995,                0.20144,                0.24866,                0.63182,              0.0023275,              0.0023275,              0.0023275
                    157,                0.19684,                0.25923,                0.87035,                0.99835,                      1,                  0.995,                  0.995,                0.19334,                0.24317,                0.63115,               0.002278,               0.002278,               0.002278
                    158,                 0.2137,                 0.2753,                0.89934,                0.99835,                      1,                  0.995,                  0.995,                0.19576,                0.23762,                0.62683,              0.0022285,              0.0022285,              0.0022285
                    159,                0.17996,                0.25695,                 0.8945,                0.99835,                      1,                  0.995,                  0.995,                0.19153,                0.22494,                0.62158,               0.002179,               0.002179,               0.002179
                    160,                0.18573,                0.25931,                0.88214,                0.99824,                      1,                  0.995,                  0.995,                0.19983,                0.22842,                0.61795,              0.0021295,              0.0021295,              0.0021295
                    161,                0.17516,                0.23649,                0.87617,                0.99816,                      1,                  0.995,                  0.995,                0.17443,                0.22623,                0.60765,                0.00208,                0.00208,                0.00208
                    162,                0.18177,                0.27542,                0.89136,                0.99807,                      1,                  0.995,                  0.995,                0.16875,                0.22909,                0.59856,              0.0020305,              0.0020305,              0.0020305
                    163,                0.18023,                0.23953,                0.86477,                0.99795,                      1,                  0.995,                  0.995,                0.17626,                0.23061,                0.60229,               0.001981,               0.001981,               0.001981
                    164,                0.18677,                 0.2779,                0.88434,                0.99801,                      1,                  0.995,                  0.995,                0.16897,                0.23428,                0.60331,              0.0019315,              0.0019315,              0.0019315
                    165,                 0.1783,                0.23771,                0.87769,                0.99803,                      1,                  0.995,                  0.995,                0.17291,                0.23997,                0.60659,               0.001882,               0.001882,               0.001882
                    166,                0.16167,                0.23634,                0.87469,                0.99815,                      1,                  0.995,                0.98049,                0.18657,                0.25753,                0.61169,              0.0018325,              0.0018325,              0.0018325
                    167,                0.19896,                0.26709,                0.90242,                0.99819,                      1,                  0.995,                0.98004,                 0.1799,                0.26106,                 0.6153,               0.001783,               0.001783,               0.001783
                    168,                0.17329,                 0.2479,                0.88794,                0.99815,                      1,                  0.995,                0.97636,                0.18927,                0.27727,                0.62261,              0.0017335,              0.0017335,              0.0017335
                    169,                0.18932,                 0.2337,                0.87948,                0.99804,                      1,                  0.995,                 0.9806,                0.18202,                0.27598,                0.61212,               0.001684,               0.001684,               0.001684
                    170,                 0.1564,                0.23614,                0.87719,                0.99816,                      1,                  0.995,                  0.995,                0.18065,                0.26869,                0.60833,              0.0016345,              0.0016345,              0.0016345
                    171,                0.19211,                0.29657,                0.90795,                0.99824,                      1,                  0.995,                0.98716,                0.17886,                0.26394,                0.60971,               0.001585,               0.001585,               0.001585
                    172,                0.16372,                 0.2449,                0.86909,                0.99823,                      1,                  0.995,                  0.995,                0.17997,                0.25413,                0.61356,              0.0015355,              0.0015355,              0.0015355
                    173,                0.17999,                0.29871,                0.88378,                0.99829,                      1,                  0.995,                  0.995,                0.17514,                0.23275,                0.61103,               0.001486,               0.001486,               0.001486
                    174,                0.15577,                0.25094,                0.85178,                0.99831,                      1,                  0.995,                  0.995,                0.17928,                0.23442,                0.61341,              0.0014365,              0.0014365,              0.0014365
                    175,                0.16049,                0.22956,                0.87472,                0.99834,                      1,                  0.995,                  0.995,                0.18158,                0.22291,                0.61462,               0.001387,               0.001387,               0.001387
                    176,                0.17414,                 0.2437,                0.91132,                0.99833,                      1,                  0.995,                  0.995,                0.18223,                0.22216,                0.61718,              0.0013375,              0.0013375,              0.0013375
                    177,                0.15992,                0.23476,                0.89989,                0.99834,                      1,                  0.995,                  0.995,                0.18057,                 0.2285,                0.61612,               0.001288,               0.001288,               0.001288
                    178,                 0.1782,                 0.2529,                0.90725,                0.99839,                      1,                  0.995,                  0.995,                 0.1773,                0.22024,                0.61511,              0.0012385,              0.0012385,              0.0012385
                    179,                0.15333,                0.23679,                0.88466,                0.99837,                      1,                  0.995,                  0.995,                0.17485,                0.22292,                0.61418,               0.001189,               0.001189,               0.001189
                    180,                0.14986,                0.21436,                 0.8437,                0.99837,                      1,                  0.995,                  0.995,                0.16788,                0.21469,                0.61028,              0.0011395,              0.0011395,              0.0011395
                    181,                0.17955,                0.24714,                0.88623,                 0.9984,                      1,                  0.995,                  0.995,                0.16627,                0.21225,                0.60802,                0.00109,                0.00109,                0.00109
                    182,                0.17306,                 0.2473,                0.89722,                 0.9984,                      1,                  0.995,                  0.995,                0.15981,                0.21554,                0.59999,              0.0010405,              0.0010405,              0.0010405
                    183,                 0.1602,                0.22163,                0.88241,                0.99838,                      1,                  0.995,                  0.995,                0.16249,                0.22073,                0.60199,               0.000991,               0.000991,               0.000991
                    184,                 0.1671,                0.24121,                0.87828,                0.99838,                      1,                  0.995,                  0.995,                0.15366,                 0.2189,                0.59542,              0.0009415,              0.0009415,              0.0009415
                    185,                0.14104,                 0.1985,                 0.8753,                0.99835,                      1,                  0.995,                  0.995,                0.15254,                0.21405,                0.59062,               0.000892,               0.000892,               0.000892
                    186,                0.15505,                0.21364,                0.87747,                0.99837,                      1,                  0.995,                  0.995,                0.14635,                0.21183,                0.58673,              0.0008425,              0.0008425,              0.0008425
                    187,                0.15179,                0.24646,                 0.8697,                0.99838,                      1,                  0.995,                  0.995,                0.14751,                0.21952,                 0.5873,               0.000793,               0.000793,               0.000793
                    188,                0.14571,                0.25788,                0.89528,                0.99838,                      1,                  0.995,                  0.995,                0.15185,                0.21944,                0.58842,              0.0007435,              0.0007435,              0.0007435
                    189,                0.14014,                0.20531,                0.86488,                0.99838,                      1,                  0.995,                  0.995,                0.15549,                0.22154,                0.59198,               0.000694,               0.000694,               0.000694
                    190,                0.13642,                0.21734,                 0.8679,                0.99838,                      1,                  0.995,                  0.995,                0.15788,                0.21911,                0.59137,              0.0006445,              0.0006445,              0.0006445
                    191,                 0.1581,                0.22829,                0.88202,                0.99838,                      1,                  0.995,                  0.995,                0.15515,                0.21264,                0.58945,               0.000595,               0.000595,               0.000595
                    192,                0.14838,                 0.2224,                0.88107,                0.99836,                      1,                  0.995,                  0.995,                0.15558,                 0.2167,                0.59348,              0.0005455,              0.0005455,              0.0005455
                    193,                0.15561,                0.25093,                0.88799,                0.99836,                      1,                  0.995,                  0.995,                0.16045,                0.21915,                0.59688,               0.000496,               0.000496,               0.000496
                    194,                0.15678,                0.21083,                0.86935,                0.99836,                      1,                  0.995,                  0.995,                0.15785,                  0.224,                 0.5971,              0.0004465,              0.0004465,              0.0004465
                    195,                0.14476,                0.23504,                0.89275,                0.99837,                      1,                  0.995,                  0.995,                0.15618,                0.22344,                0.59534,               0.000397,               0.000397,               0.000397
                    196,                0.13678,                0.21612,                0.86696,                0.99836,                      1,                  0.995,                  0.995,                 0.1565,                0.22676,                0.59615,              0.0003475,              0.0003475,              0.0003475
                    197,                0.13596,                0.21575,                0.87424,                0.99836,                      1,                  0.995,                  0.995,                0.15637,                0.22515,                0.59472,               0.000298,               0.000298,               0.000298
                    198,                0.13539,                0.21425,                0.86391,                0.99836,                      1,                  0.995,                  0.995,                 0.1566,                0.23021,                0.59485,              0.0002485,              0.0002485,              0.0002485
                    199,                0.13247,                0.19048,                0.86907,                0.99836,                      1,                  0.995,                  0.995,                0.15712,                0.22482,                0.59495,               0.000199,               0.000199,               0.000199
