                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.46656,                0.65552,                0.98719,                0.49351,                0.77419,                0.68248,                0.64731,                0.45612,                 1.7996,                0.79187,               0.008317,               0.008317,               0.008317
                     36,                0.48264,                0.66074,                 1.0276,                 0.6889,                0.87097,                0.77394,                 0.7361,                0.45865,                 1.5454,                0.77554,              0.0082675,              0.0082675,              0.0082675
                     37,                0.49629,                0.68734,                 1.0284,                 0.7222,                0.92269,                0.90989,                0.89681,                0.34699,                 1.1848,                0.71218,               0.008218,               0.008218,               0.008218
                     38,                0.45501,                0.71462,                   1.01,                0.99727,                      1,                  0.995,                0.94775,                 0.3731,                0.66086,                0.75644,              0.0081685,              0.0081685,              0.0081685
                     39,                0.46942,                0.65589,                 1.0142,                 0.9633,                      1,                0.99406,                0.86813,                0.49696,                0.75776,                0.86503,               0.008119,               0.008119,               0.008119
                     40,                0.45488,                0.67223,                 1.0143,                0.66078,                0.93548,                0.87814,                0.84661,                0.43567,                 1.4329,                0.85451,              0.0080695,              0.0080695,              0.0080695
                     41,                0.44562,                 0.6104,                0.97962,                0.54042,                0.93548,                0.73177,                0.72295,                 0.4032,                  1.507,                0.73284,                0.00802,                0.00802,                0.00802
                     42,                0.45189,                0.62058,                 0.9792,                      1,                0.99277,                  0.995,                  0.995,                0.33308,                 1.0712,                0.67208,              0.0079705,              0.0079705,              0.0079705
                     43,                0.44975,                0.58097,                 1.0033,                0.92043,                0.87097,                0.95444,                0.94953,                0.34951,                 1.2225,                0.69594,               0.007921,               0.007921,               0.007921
                     44,                0.43951,                0.56629,                0.98094,                0.48681,                0.93548,                0.71458,                0.70242,                0.40481,                 1.5244,                0.80766,              0.0078715,              0.0078715,              0.0078715
                     45,                0.42776,                0.56456,                0.99152,                0.58582,                0.91266,                0.83154,                0.76817,                0.48089,                 1.5768,                 0.8476,               0.007822,               0.007822,               0.007822
                     46,                0.45023,                0.65244,                  1.016,                0.93646,                      1,                0.99125,                0.91987,                0.54028,                   1.12,                0.90773,              0.0077725,              0.0077725,              0.0077725
                     47,                0.46675,                0.61813,                  1.009,                0.95831,                      1,                  0.995,                0.94732,                0.41393,                0.87468,                0.74902,               0.007723,               0.007723,               0.007723
                     48,                0.40605,                0.56734,                 0.9485,                0.53055,                  0.948,                0.64686,                0.62964,                0.32649,                 1.2567,                0.68464,              0.0076735,              0.0076735,              0.0076735
                     49,                0.43209,                0.55581,                0.98697,                0.59378,                      1,                0.79801,                0.76749,                0.34541,                0.97071,                0.73261,               0.007624,               0.007624,               0.007624
                     50,                 0.4065,                0.56839,                0.96525,                0.74898,                0.80645,                0.86964,                0.83833,                0.42156,                0.96206,                0.81949,              0.0075745,              0.0075745,              0.0075745
                     51,                0.43161,                0.56691,                0.97006,                0.93313,                      1,                0.99125,                0.97915,                0.43808,                0.67521,                0.85819,               0.007525,               0.007525,               0.007525
                     52,                 0.4063,                0.55483,                0.96025,                0.99533,                      1,                  0.995,                0.95841,                0.34125,                0.49979,                0.71975,              0.0074755,              0.0074755,              0.0074755
                     53,                0.42404,                0.53831,                0.99027,                0.99496,                      1,                  0.995,                0.97437,                0.30994,                0.42559,                0.70936,               0.007426,               0.007426,               0.007426
                     54,                0.37822,                0.49574,                0.96579,                0.99604,                      1,                  0.995,                0.95394,                0.36435,                0.51336,                0.75389,              0.0073765,              0.0073765,              0.0073765
                     55,                0.44011,                0.52951,                0.99778,                0.99804,                      1,                  0.995,                0.97191,                0.30445,                0.37175,                0.71212,               0.007327,               0.007327,               0.007327
                     56,                0.40599,                 0.5191,                  0.967,                0.99688,                      1,                  0.995,                0.96952,                0.35646,                0.42931,                0.72206,              0.0072775,              0.0072775,              0.0072775
                     57,                0.37016,                0.50328,                0.96485,                0.76832,                0.96291,                0.97044,                0.97044,                 0.3037,                 1.2585,                0.68507,               0.007228,               0.007228,               0.007228
                     58,                0.41216,                0.52258,                0.99213,                0.84104,                0.90323,                0.97203,                0.97203,                 0.2987,                 1.2093,                0.68932,              0.0071785,              0.0071785,              0.0071785
                     59,                0.40546,                0.50339,                0.96499,                0.76913,                0.96774,                 0.9353,                0.93109,                0.32477,                 1.0922,                0.68414,               0.007129,               0.007129,               0.007129
                     60,                0.41138,                0.50858,                0.94453,                  0.998,                      1,                  0.995,                0.97715,                0.35168,                0.40935,                0.71888,              0.0070795,              0.0070795,              0.0070795
                     61,                0.39085,                0.53769,                0.96181,                0.99802,                      1,                  0.995,                0.99213,                0.31317,                  0.416,                0.71692,                0.00703,                0.00703,                0.00703
